word,definition
dumb,slow to learn or understand; lacking intellectual acuity; ; ; - Thackeray
dump,a coarse term for defecation
dune,a ridge of sand created by the wind; found in deserts or near lakes and oceans
dung,fecal matter of animals
dunk,a basketball shot in which the basketball is propelled downward into the basket
duns,horse of a dull brownish grey color
dupe,a person who is tricked or swindled
dura,the outermost (and toughest) of the 3 meninges
dusk,the time of day immediately following sunset
dust,fine powdery material such as dry earth or pollen that can be blown about in the air
duty,the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr
dyad,two items of the same kind
dyer,someone whose job is to dye cloth
dyke,(slang) offensive term for a lesbian who is noticeably masculine
dyne,a unit of force equal to the force that imparts an acceleration of 1 cm/sec/sec to a mass of 1 gram
each,(used of count nouns) every one considered individually
earl,a British peer ranking below a marquess and above a viscount
earn,earn on some commercial or business transaction; earn as salary or wages
ease,freedom from difficulty or hardship or effort
east,the cardinal compass point that is at 90 degrees
easy,posing no difficulty; requiring little effort
eats,informal terms for a meal
ebon,of a very dark black
echo,the repetition of a sound resulting from reflection of the sound waves
ecru,a very light brown
edda,tropical starchy tuberous root
eddo,edible starchy tuberous root of taro plants
eddy,founder of Christian Science in 1866 (1821-1910)
eden,any place of complete bliss and delight and peace
edge,the boundary of a surface
edgy,being in a tense state
edit,"prepare for publication or presentation by correcting, revising, or adapting"
elia,English essayist (1775-1834)
emir,an independent ruler or chieftain (especially in Africa or Arabia)
emit,expel (gases or odors)
enid,a town in north central Oklahoma
enki,water god and god of wisdom; counterpart of the Akkadian Ea
enol,an organic compound that contains a hydroxyl group bonded to a carbon atom which in turn is doubly bonded to another carbon atom
envy,a feeling of grudging admiration and desire to have something that is possessed by another
epee,a fencing sword similar to a foil but with a heavier blade
epha,an ancient Hebrew unit of dry measure equal to about a bushel
epic,a long narrative poem telling of a hero's deeds
epos,a body of poetry that conveys the traditions of a society by treating some epic theme
erie,a member of an Iroquoian people formerly living on the south shore of Lake Erie in northern Ohio and northwest Pennsylvania and western New York
erne,bulky greyish-brown eagle with a short wedge-shaped white tail; of Europe and Greenland
eros,(Greek mythology) god of love; son of Aphrodite; identified with Roman Cupid
erse,any of several related languages of the Celts in Ireland and Scotland
esox,type and only genus of the family Esocidae
espy,catch sight of
etch,make an etching of
etna,"an inactive volcano in Sicily; last erupted in 1961; the highest volcano in Europe (10,500 feet)"
etui,small ornamental ladies' bag for small articles
even,the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
ever,at any time
evil,morally objectionable behavior
ewer,an open vessel with a handle and a spout for pouring
exam,a set of questions or exercises evaluating skill or knowledge
exes,a man who was formerly a certain woman's husband
exit,an opening that permits escape or release
exon,sequence of a gene's DNA that transcribes into protein structures
eyas,an unfledged or nestling hawk
eyed,look at
eyra,long-bodied long-tailed tropical American wildcat
eyre,a shallow salt lake in south central Australia about 35 feet below sea level; the largest lake in the country and the lowest point on the continent
ezra,a Jewish priest and scribe sent by the Persian king to restore Jewish law and worship in Jerusalem
face,the front of the human head from the forehead to the chin and ear to ear
fact,a piece of information about circumstances that exist or events that have occurred
fade,a golf shot that curves to the right for a right-handed golfer
fail,fail to do something; leave something undone
fain,having made preparations
fair,a traveling show; having sideshows and rides and games of skill etc.
fake,something that is a counterfeit; not what it seems to be
fall,the season when the leaves fall from the trees
fame,the state or quality of being widely honored and acclaimed
fang,a Bantu language spoken in Cameroon
fare,an agenda of things to do
farm,workplace consisting of farm buildings and cultivated land as a unit
faro,a card game in which players bet against the dealer on the cards he will draw from a dealing box
fass,a congenital medical condition in which body deformation occurs or facial development or mental ability is impaired because the mother drinks alcohol during pregnancy
fast,abstaining from food
fate,an event (or a course of events) that will inevitably happen in the future
faun,"ancient Italian deity in human shape, with horns, pointed ears and a goat's tail; equivalent to Greek satyr"
fawn,a color or pigment varying around a light grey-brown color
faze,disturb the composure of
fear,an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
feat,a notable achievement
feed,food for domestic livestock
feel,an intuitive awareness;  or
fell,the dressed skin of an animal (especially a large animal)
felt,a fabric made of compressed matted animal fibers
fend,try to manage without help
fern,any of numerous flowerless and seedless vascular plants having true roots from a rhizome and fronds that uncurl upward; reproduce by spores
fess,(heraldry) an ordinary consisting of a broad horizontal band across a shield
feud,a bitter quarrel between two parties
fiat,a legally binding command or decision entered on the court record (as if issued by a court or judge)
fice,a nervous belligerent little mongrel dog
fife,a small high-pitched flute similar to a piccolo; has a shrill tone and is used chiefly to accompany drums in a marching band
fifo,inventory accounting in which the oldest items (those first acquired) are assumed to be the first sold
fiji,an independent state within the British Commonwealth located on the Fiji Islands
file,a set of related records (either written or electronic) kept together
fill,a quantity sufficient to satisfy
film,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
fils,100 Yemeni fils are worth one Yemeni rial
find,a productive insight
fine,money extracted as a penalty
fink,someone acting as an informer or decoy for the police
finn,a native or inhabitant of Finland
fire,the event of something burning (often destructive)
firm,the members of a business organization that owns or operates one or more establishments
fisc,a state treasury or exchequer or a royal treasury; originally the public treasury of Rome or the emperor's private purse
fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
fist,a hand with the fingers clenched in the palm (as for hitting)
five,the cardinal number that is the sum of four and one
fizz,an effervescent beverage (usually alcoholic)
flag,emblem usually consisting of a rectangular piece of cloth of distinctive design
flak,a slick spokesperson who can turn any criticism to the advantage of their employer
flan,open pastry filled with fruit or custard
flap,any broad thin and limber covering attached at one edge; hangs loose or projects freely
flat,a level tract of land
flaw,an imperfection in an object or machine
flax,fiber of the flax plant that is made into thread and woven into linen fabric
flay,strip the skin off
flea,any wingless bloodsucking parasitic insect noted for ability to leap
fled,run away quickly
flee,run away quickly
flew,travel through the air; be airborne
flex,the act of flexing
flip,an acrobatic feat in which the feet roll over the head (either forward or backward) and return
flit,a sudden quick movement
floc,a small loosely aggregated mass of flocculent material suspended in or precipitated from a liquid
floe,a flat mass of ice (smaller than an ice field) floating at sea
flog,beat severely with a whip or rod
flop,an arithmetic operation performed on floating-point numbers
flow,the motion characteristic of fluids (liquids or gases)
flub,an embarrassing mistake
flue,flat bladelike projection on the arm of an anchor
flux,the rate of flow of energy or particles across a given surface
foal,a young horse
foam,a mass of small bubbles formed in or on a liquid
foci,the concentration of attention or energy on something
fogy,someone whose style is out of fashion
foil,a piece of thin and flexible sheet metal
fold,an angular or rounded shape made by folding
folk,people in general (often used in the plural)
font,a specific size and style of type within a type family
food,any substance that can be metabolized by an animal to give energy and build tissue
fool,a person who lacks good judgment
foot,the part of the leg of a human being below the ankle joint
fora,a public meeting or assembly for open discussion
ford,United States film maker (1896-1973)
fore,front part of a vessel or aircraft
fork,cutlery used for serving and eating food
form,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
fort,a fortified military post where troops are stationed
foul,an act that violates the rules of a sport
four,the cardinal number that is the sum of three and one
fowl,a domesticated gallinaceous bird thought to be descended from the red jungle fowl
foxy,marked by skill in deception
frap,make secure by lashing
frat,a social club for male undergraduates
fray,a noisy fight
free,people who are free
fret,agitation resulting from active worry
frog,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
from,
fuci,any member of the genus Fucus
fuel,a substance that can be consumed to produce energy
fugu,a blowfish highly prized as a delicacy in Japan but highly dangerous because the skin and organs are poisonous
fuji,shrubby Japanese cherry tree having pale pink blossoms
full,the time when the Moon is fully illuminated
fume,a cloud of fine particles suspended in a gas
fund,a reserve of money set aside for some purpose
funk,a state of nervous depression
furl,form into a cylinder by rolling
fury,a feeling of intense anger
fuse,an electrical device that can interrupt the flow of electrical current when it is overloaded
fuss,an excited state of agitation
fuze,any igniter that is used to initiate the burning of a propellant
fuzz,filamentous hairlike growth on a plant
gael,a Gaelic-speaking Celt in Ireland or Scotland or the Isle of Man
gaff,a sharp metal spike or spur that is fastened to the leg of a gamecock
gage,street names for marijuana
gaia,(Greek mythology) goddess of the earth and mother of Cronus and the Titans in ancient mythology
gain,a quantity that is added
gait,the rate of moving (especially walking or running)
gala,a gay festivity
gale,a strong wind moving 45-90 knots; force 7 to 10 on Beaufort scale
gall,an open sore on the back of a horse caused by ill-fitting or badly adjusted saddle
game,a contest with rules to determine a winner
gamp,colloquial terms for an umbrella
gamy,suggestive of sexual impropriety
gang,an association of criminals
gaol,a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
gape,an expression of openmouthed astonishment
garb,clothing of a distinctive style or for a particular occasion
gary,a city in northwest Indiana on Lake Michigan; steel production
gash,a wound made by cutting
gasp,a short labored intake of breath with the mouth open
gate,a movable barrier in a fence or wall
gaud,cheap showy jewelry or ornament on clothing
gaul,a person of French descent
gaur,wild ox of mountainous areas of eastern India
gave,"cause to have, in the abstract sense or physical sense"
gawk,an awkward stupid person
gaze,a long fixed look
gean,wild or seedling sweet cherry used as stock for grafting
gear,a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion
geek,a carnival performer who does disgusting acts
geld,cut off the testicles (of male animals such as horses)
gelt,informal terms for money
gene,(genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity
gens,family based on male descent
gent,informal abbreviation of `gentleman'
genu,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
germ,anything that provides inspiration for later work
geta,footwear usually with wooden soles
geum,avens
ghat,stairway in India leading down to a landing on the water
ghee,clarified butter used in Indian cookery
gheg,the dialect of Albanian spoken in northern Albania and Yugoslavia
gibe,an aggressive remark directed at a person like a missile and intended to have a telling effect
gied,clean in preparation for inspection
gift,something acquired without compensation
gila,a river that rises in western New Mexico and flows westward through southern Arizona to become a tributary of the Colorado River
gild,a formal association of people with similar interests
gill,a British imperial capacity unit (liquid or dry) equal to 5 fluid ounces or 142.066 cubic centimeters
gilt,a coating of gold or of something that looks like gold
gimp,disability of walking due to crippling of the legs or feet
gird,prepare oneself for a military confrontation
girl,a young woman
giro,a check given by the British government to someone who is unemployed; it can be cashed either at a bank or at the post office
girt,prepare oneself for a military confrontation
gish,United States film actress who appeared in films by D. W. Griffith (1896-1993)
gist,the central meaning or theme of a speech or literary work
give,the elasticity of something that can be stretched and returns to its original length
glad,any of numerous plants of the genus Gladiolus native chiefly to tropical and South Africa having sword-shaped leaves and one-sided spikes of brightly colored funnel-shaped flowers; widely cultivated
glee,great merriment
glen,a narrow secluded valley (in the mountains)
glia,sustentacular tissue that surrounds and supports neurons in the central nervous system; glial and neural cells together compose the tissue of the central nervous system
glib,marked by lack of intellectual depth
glis,type genus of the Gliridae
glom,take by theft
glop,any gummy shapeless matter; usually unpleasant
glow,an alert and refreshed state
glue,cement consisting of a sticky substance that is used as an adhesive
glug,make a gurgling sound as of liquid issuing from a bottle
glum,moody and melancholic
glut,the quality of being so overabundant that prices fall
gnat,any of various small biting flies: midges; biting midges; black flies; sand flies
gnaw,bite or chew on with the teeth
goad,a pointed instrument that is used to prod into a state of motion
goal,the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it
goat,any of numerous agile ruminants related to sheep but having a beard and straight horns
gobi,a desert in central China
goby,small spiny-finned fish of coastal or brackish waters having a large head and elongated tapering body having the ventral fins modified as a sucker
goer,someone who leaves
goes,a time for working (after which you will be relieved by someone else)
gold,coins made of gold
golf,a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes
goma,a city in eastern Congo at the northern end of Lake Kivu near the border with Rwanda
gond,a member of a formerly tribal people in south central India
gone,"change location; move, travel, or proceed, also metaphorically"
gong,a percussion instrument consisting of a metal plate that is struck with a softheaded drumstick
good,benefit
goof,a man who is a stupid incompetent fool
gook,"any thick, viscous matter"
goon,an awkward stupid person
goop,"any thick, viscous matter"
gore,Vice President of the United States under Bill Clinton (born in 1948)
gory,covered with blood
goth,a crude uncouth ill-bred person lacking culture or refinement
gout,a painful inflammation of the big toe and foot caused by defects in uric acid metabolism resulting in deposits of the acid and its salts in the blood and joints
gown,"a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions"
grab,a mechanical device for gripping an object
grad,one-hundredth of a right angle
gram,a metric unit of weight equal to one thousandth of a kilogram
gray,a neutral achromatic color midway between white and black
grew,"pass into a condition gradually, take on a specific property or attribute; become"
grey,United States writer of western adventure novels (1875-1939)
grid,a pattern of regularly spaced horizontal and vertical lines
grim,not to be placated or appeased or moved by entreaty
grin,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
grip,the act of grasping
gris,Spanish cubist painter (1887-1927)
grit,a hard coarse-grained siliceous sandstone
grog,rum cut with water
grot,a small cave (usually with attractive features)
grow,"pass into a condition gradually, take on a specific property or attribute; become"
grub,informal terms for a meal
grus,a small constellation in the southern hemisphere near Phoenix
guan,any of several large turkey-like game birds of the family Cracidae; native to jungles of tropical America; resembling the curassows and valued as food
guar,drought-tolerant herb grown for forage and for its seed which yield a gum used as a thickening agent or sizing material
guff,unacceptable behavior (especially ludicrously false statements)
guib,antelope with white markings like a harness and twisted horns
gula,the Babylonian goddess of healing and consort of Ninurta
gulf,an arm of a sea or ocean partly enclosed by land; larger than a bay
gull,a person who is gullible and easy to take advantage of
gulo,a genus of Mustelidae
gulp,a large and hurried swallow
gunk,"any thick, viscous matter"
guru,a Hindu or Buddhist religious leader and spiritual teacher
gush,a sudden rapid flow (as of water)
gust,a strong current of air
gyps,a genus of Accipitridae
gyre,a round shape formed by a series of concentric circles (as formed by leaves or flower petals)
gyri,a convex fold or elevation in the surface of the brain
gyro,a Greek sandwich: sliced roast lamb with onion and tomato stuffed into pita bread
hack,one who works hard at boring tasks
hadj,the fifth pillar of Islam is a pilgrimage to Mecca during the month of Dhu al-Hijja; at least once in a lifetime a Muslim is expected to make a religious journey to Mecca and the Kaaba
hadn,
haem,a complex red organic pigment containing iron and other atoms to which oxygen binds
haft,the handle of a weapon or tool
haik,an outer garment consisting of a large piece of white cloth; worn by men and women in northern Africa
hail,precipitation of ice pellets when there are strong rising air currents
hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
hake,the lean flesh of a fish similar to cod
hale,a soldier of the American Revolution who was hanged as a spy by the British; his last words were supposed to have been `I only regret that I have but one life to give for my country' (1755-1776)
half,one of two equal parts of a divisible whole
hall,an interior passage or corridor onto which rooms open
halo,an indication of radiant light drawn around the head of a saint
hals,Dutch portrait and genre painter who endowed his portraits with vitality and humor (1580?-1666)
halt,the state of inactivity following an interruption
hame,stable gear consisting of either of two curved supports that are attached to the collar of a draft horse and that hold the traces
hand,the (prehensile) extremity of the superior limb
hank,a coil of rope or wool or yarn
hans,imperial dynasty that ruled China (most of the time from 206 BC to AD 220) and expanded its boundaries and developed its bureaucracy; remembered as one of the great eras of Chinese civilization
hard,not easy; requiring great physical or mental effort to accomplish or comprehend or endure
hare,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes
hark,listen; used mostly in the imperative
harm,any physical damage to the body caused by violence or accident or fracture etc.
harp,a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers
hart,United States playwright who collaborated with George S. Kaufman (1904-1961)
hash,chopped meat mixed with potatoes and browned
hasn,
hasp,a fastener for a door or lid; a hinged metal plate is fitted over a staple and is locked with a pin or padlock
hate,the emotion of intense dislike; a feeling of dislike so strong that it demands action
haul,the act of drawing or hauling something
have,a person who possesses great material wealth
hawk,diurnal bird of prey typically having short rounded wings and a long tail
haze,atmospheric moisture or dust or smoke that causes reduced visibility
hazy,filled or abounding with fog or mist
head,the upper part of the human body or the front part of the body in animals; contains the face and brains
heal,heal or recover
heap,a collection of objects laid on top of each other
hear,perceive (sound) via the auditory sense
heat,a form of energy that is transferred by a difference in temperature
heed,paying particular notice (as to children or helpless people)
heel,the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
heft,the property of being large in mass
heir,a person who is entitled by law or by the terms of a will to inherit the estate of another
hell,any place of pain and turmoil
helm,steering mechanism for a vessel; a mechanical device by which a vessel is steered
help,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
heme,a complex red organic pigment containing iron and other atoms to which oxygen binds
hemp,a plant fiber
herb,a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests
herd,a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans
here,the present location; this place
hero,a man distinguished by exceptional courage and nobility and strength
hers,
hewn,make or shape as with an axe
hick,a person who is not very intelligent or interested in culture
hide,the dressed skin of an animal (especially a large animal)
high,a lofty level or position or degree
hike,a long walk usually for exercise or pleasure
hill,a local and well-defined elevation of the land
hilt,the handle of a sword or dagger
hind,any of several mostly spotted fishes that resemble groupers
hint,an indirect suggestion
hire,a newly hired employee
hiss,a fricative sound (especially as an expression of disapproval)
hive,a teeming multitude
hoar,ice crystals forming a white deposit (especially on objects outside)
hoax,something intended to deceive; deliberate trickery intended to gain an advantage
hobo,a disreputable vagrant
hock,any of several white wines from the Rhine River valley in Germany (`hock' is British usage)
hold,the act of grasping
hole,an opening into or through something
holy,a sacred place of pilgrimage
home,where you live at a particular time
homo,someone who practices homosexuality; having a sexual attraction to persons of the same sex
homy,having a feeling of home; cozy and comfortable
hone,a whetstone made of fine gritstone; used for sharpening razors
honk,the cry of a goose (or any sound resembling this)
hood,an aggressive and violent young criminal
hoof,the foot of an ungulate mammal
hook,a catch for locking a door
hoop,a light curved skeleton to spread out a skirt
hoot,a loud raucous cry (as of an owl)
hope,a specific instance of feeling hopeful
hopi,a member of the Shoshonean people of northeastern Arizona
horn,a noisemaker (as at parties or games) that makes a loud noise when you blow through it
hose,socks and stockings and tights collectively (the British include underwear)
host,a person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there
hour,a period of time equal to 1/24th of a day
hove,"utter a sound, as with obvious effort"
howe,United States editor (1920-1993)
howl,a long loud emotional utterance
hoya,any plant of the genus Hoya having fleshy leaves and usually nectariferous flowers
huck,toweling consisting of coarse absorbent cotton or linen fabric
hued,take on color or become colored
huff,a state of irritation or annoyance
huge,unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge
hugo,French poet and novelist and dramatist; leader of the romantic movement in France (1802-1885)
hula,a Polynesian rain dance performed by a woman
hulk,a very large person; impressive in size or qualities
hull,dry outer covering of a fruit or seed or nut
hume,Scottish philosopher whose sceptical philosophy restricted human knowledge to that which can be perceived by the senses (1711-1776)
hump,something that bulges out or is protuberant or projects from its surroundings
hung,be suspended or hanging
hunk,a well-built sexually attractive man
hunt,Englishman and Pre-Raphaelite painter (1827-1910)
hupa,a member of the Athapaskan people of the Trinity River valley in California
hurl,a violent throw
hurt,any physical damage to the body caused by violence or accident or fracture etc.
hush,(poetic) tranquil silence
husk,material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds
huss,Czechoslovakian religious reformer who anticipated the Reformation; he questioned the infallibility of the Catholic Church was excommunicated (1409) for attacking the corruption of the clergy; he was burned at the stake (1372-1415)
hyla,the type genus of the Hylidae; tree toads
hymn,a song of praise (to God or to a saint or to a nation)
hypo,a compound used as a fixing agent in photographic developing
iamb,a metrical unit with unstressed-stressed syllables
ibex,wild goat of mountain areas of Eurasia and northern Africa having large recurved horns
ibis,wading birds of warm regions having long slender down-curved bills
iced,decorate with frosting
icon,(computer science) a graphic symbol (usually a simple picture) that denotes a program or a command or a data file or a concept in a graphical user interface
idea,the content of cognition; the main thing you are thinking about
ides,in the Roman calendar: the 15th of March or May or July or October or the 13th of any other month
idle,the state of an engine or other mechanism that is idling
idly,in an idle manner
idol,a material effigy that is worshipped
idyl,a musical composition that evokes rural life
iffy,subject to accident or chance or change
ilex,a large genus of dicotyledonous trees and shrubs of the family Aquifoliaceae that have small flowers and berries (including hollies)
ilia,an ancient city in Asia Minor that was the site of the Trojan War
imam,(Islam) the man who leads prayers in a mosque; for Shiites an imam is a recognized authority on Islamic theology and law and a spiritual guide
inca,a ruler of the Incas (or a member of his family)
inch,a unit of length equal to one twelfth of a foot
inga,any tree or shrub of the genus Inga having pinnate leaves and showy usually white flowers; cultivated as ornamentals
inks,a liquid used for printing or writing or drawing
inky,of the color of black ink
into,
iota,a tiny or scarcely detectable amount
iowa,a member of the Siouan people formerly living in Iowa and Minnesota and Missouri
iran,a theocratic Islamic republic in the Middle East in western Asia; Iran was the core of the ancient empire that was known as Persia until 1935; rich in oil
iraq,a republic in the Middle East in western Asia; the ancient civilization of Mesopotamia was in the area now known as Iraq
iris,plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals
iron,a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood
isis,Egyptian goddess of fertility; daughter of Geb; sister and wife of Osiris
isle,a small island
itch,a contagious skin infection caused by the itch mite; characterized by persistent itching and skin irritation
item,a distinct part that can be specified separately in a group of things that could be enumerated on a list
ixia,a monocotyledonous genus of the family Iridaceae
izar,a voluminous cotton outer garment (usually white) traditionally worn by Muslim women of northern Africa and the Middle East; covers the entire body
jack,a small worthless amount
jade,a semiprecious gemstone that takes a high polish; is usually green but sometimes whitish; consists of jadeite or nephrite
jail,a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
jain,relating to or characteristic of Jainism
jamb,upright consisting of a vertical side member of a door or window frame
jape,a humorous anecdote or remark intended to provoke laughter
jati,(Hinduism) a Hindu caste or distinctive social group of which there are thousands throughout India; a special characteristic is often the exclusive occupation of its male members (such as barber or potter)
java,an island in Indonesia to the south of Borneo; one of the world's most densely populated regions
jazz,empty rhetoric or insincere or exaggerated talk
jean,(usually plural) close-fitting trousers of heavy denim for manual work or casual wear
jeep,a car suitable for traveling over rough terrain
jeer,showing your contempt by derision
jell,become gelatinous
jerk,a dull stupid fatuous person
jest,a humorous anecdote or remark intended to provoke laughter
jibe,an aggressive remark directed at a person like a missile and intended to have a telling effect
jilt,a woman who jilts a lover
jinn,(Islam) an invisible spirit mentioned in the Koran and believed by Muslims to inhabit the earth and influence mankind by appearing in the form of humans or animals
jinx,a person believed to bring bad luck to those around him
jive,a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz
jock,a person trained to compete in sports
joel,a Hebrew minor prophet
john,a room or building equipped with one or more toilets
join,the shape or manner in which things come together and a connection is made
joke,a humorous anecdote or remark intended to provoke laughter
jolt,a sudden jarring impact
jong,United States writer (born in 1942)
josh,be silly or tease one another
joss,a Chinese god worshipped in the form of an idol
jove,(Roman mythology) supreme god of Romans; counterpart of Greek Zeus
jowl,the jaw in vertebrates that is hinged to open the mouth
jude,(New Testament) supposed brother of St. James; one of the Apostles who is invoked in prayer when a situation seems hopeless
judo,a sport adapted from jujitsu (using principles of not resisting) and similar to wrestling; developed in Japan
juju,the power associated with a juju
juke,a small roadside establishment in the southeastern United States where you can eat and drink and dance to music provided by a jukebox
july,the month following June and preceding August
jump,a sudden and decisive increase
june,the month following May and preceding July
junk,the remains of something that has been destroyed or broken up
juno,(Roman mythology) queen of the Olympian gods who protected marriage; wife and sister of Jupiter; counterpart of Greek Hera
jury,a body of citizens sworn to give a true verdict according to the evidence presented in a court of law
just,used especially of what is legally or ethically right or proper or fitting; - A.Lincoln
jute,a plant fiber used in making rope or sacks
jynx,wrynecks
kail,a hardy cabbage with coarse curly leaves that do not form a head
kaki,small deciduous Asiatic tree bearing large red or orange edible astringent fruit
kale,informal terms for money
kali,bushy plant of Old World salt marshes and sea beaches having prickly leaves; burned to produce a crude soda ash
kava,an alcoholic drink made from the aromatic roots of the kava shrub
kayo,a blow that renders the opponent unconscious
keel,a projection or ridge that suggests a keel
keen,a funeral lament sung with loud wailing
keep,the financial means whereby one lives
kelp,large brown seaweeds having fluted leathery fronds
kelt,a member of a European people who once occupied Britain and Spain and Gaul prior to Roman times
keno,a game in which numbered balls are drawn at random and players cover the corresponding numbers on their cards
kent,"a county in southeastern England on the English Channel; formerly an Anglo-Saxon kingdom, it was the first to be colonized by the Romans"
kepi,a cap with a flat circular top and a visor
kept,"keep in a certain state, position, or activity; e.g.,"
kern,United States composer of musical comedies (1885-1945)
khan,a title given to rulers or other important people in Asian countries
khat,the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant
kibe,ulcerated chilblain on the heel
kick,the act of delivering a blow with the foot
kids,a young person of either sex
kike,(ethnic slur) offensive term for a Jew
kill,the act of terminating a life
kiln,a furnace for firing or burning or drying such things as porcelain or bricks
kilo,one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites
kilt,a knee-length pleated tartan skirt worn by men as part of the traditional dress in the Highlands of northern Scotland
kina,the basic unit of money in Papua New Guinea
kind,a category of things distinguished by some common characteristic or quality
king,a male sovereign; ruler of a kingdom
kink,a painful muscle spasm especially in the neck or back (`rick' and `wrick' are British)
kino,a gum obtained from various tropical plants; used as an astringent and in tanning
kirk,a Scottish church
kiss,the act of caressing with the lips (or an instance thereof)
kite,a bank check that has been fraudulently altered to increase its face value
kith,your friends and acquaintances
kivu,a lake in the mountains of central Africa between Congo and Rwanda
kiwi,climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat
klan,a secret society of white Southerners in the United States; was formed in the 19th century to resist the emancipation of slaves; used terrorist tactics to suppress Black people
knap,strike sharply
knee,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
knew,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
knit,a fabric made by knitting
knob,a circular rounded projection or protuberance
knot,a tight cluster of people or things
know,the fact of being aware of information that is known to few people
knut,"king of Denmark and Norway who forced Edmund II to divide England with him; on the death of Edmund II, Canute became king of all England (994-1035)"
koch,German bacteriologist who isolated the anthrax bacillus and the tubercle bacillus and the cholera bacillus (1843-1910)
kohl,a cosmetic preparation used by women in Egypt and Arabia to darken the edges of their eyelids
kola,tree bearing large brown nuts containing e.g. caffeine; source of cola extract
komi,a member of a Finnish people living in the northwestern Urals in Russia
kore,(Greek mythology) daughter of Zeus and Demeter; made queen of the underworld by Pluto in ancient mythology; identified with Roman Proserpina
kota,a member of the Dravidian people living in the Nilgiri Hills in southern India
koto,Japanese stringed instrument that resembles a zither; has a rectangular wooden sounding board and usually 13 silk strings that are plucked with the fingers
kris,a Malayan dagger with a wavy blade
kudu,either of two spiral-horned antelopes of the African bush
kuki,Kamarupan languages spoken in western Burma and Bangladesh and easternmost India
kurd,a member of a largely pastoral Islamic people who live in Kurdistan; the largest ethnic group without their own state
kyat,the basic unit of money in Myanmar
lace,a cord that is drawn through eyelets or around hooks in order to draw together two edges (as of a shoe or garment)
lack,the state of needing something that is absent or unavailable
lacy,made of or resembling lace
lade,remove with or as if with a ladle
lady,a polite name for any woman
laic,characteristic of those who are not members of the clergy
laid,put into a certain place or abstract location
lain,be located or situated somewhere; occupy a certain position
lair,the habitation of wild animals
lake,a body of (usually fresh) water surrounded by land
lama,a Tibetan or Mongolian priest of Lamaism
lamb,young sheep
lame,someone who doesn't understand what is going on
lamp,an artificial source of visible illumination
land,the land on which real estate is located
lane,a narrow way or road
lank,long and thin and often limp
lapp,a member of an indigenous nomadic people living in northern Scandinavia and herding reindeer
lard,soft white semisolid fat obtained by rendering the fatty tissue of the hog
lari,the basic unit of money in Georgia
lark,North American songbirds having a yellow breast
lash,any of the short curved hairs that grow from the edges of the eyelids
lass,a girl or young woman who is unmarried
last,the temporal end; the concluding time
late,being or occurring at an advanced period of time or after a usual or expected time
lath,a narrow thin strip of wood used as backing for plaster or to make latticework
laud,"praise, glorify, or honor"
lava,rock that in its molten form (as magma) issues from volcanos; lava is what magma is called when it reaches the surface
lave,wash or flow against
